58, 2, 5, 16, 0, 0, 0, 0
70, 2, 58, 1024, 1, 1, 0, 2
49, 2, 14, 512, 0, 1, 0, 1
20, 0, 24, 32, 0, 1, 0, 2
28, 0, 18, 64, 0, 1, 1, 2
22, 2, 59, 256, 0, 0, 1, 2
78, 3, 41, 2, 2, 0, 1, 0
17, 3, 33, 16, 1, 1, 0, 2
54, 2, 33, 256, 0, 0, 1, 1
73, 2, 8, 2, 2, 1, 1, 2
54, 2, 9, 16, 2, 1, 0, 2
47, 3, 20, 2, 1, 1, 0, 0
10, 2, 2, 4, 2, 1, 1, 2
39, 2, 52, 32, 1, 1, 0, 0
30, 2, 38, 2, 0, 0, 0, 2
6, 1, 58, 128, 2, 0, 1, 0
49, 3, 19, 16, 2, 1, 0, 0
53, 0, 39, 2, 2, 0, 0, 0
53, 3, 20, 512, 0, 0, 1, 0
61, 2, 47, 128, 2, 1, 1, 0
47, 0, 46, 8, 0, 1, 0, 2
0, 0, 52, 512, 0, 0, 0, 2
16, 1, 44, 4, 2, 0, 0, 1
11, 0, 15, 512, 2, 0, 0, 1
9, 3, 43, 2, 2, 0, 1, 2
19, 2, 44, 16, 2, 1, 0, 0
15, 3, 21, 1024, 1, 1, 1, 1
73, 3, 25, 256, 2, 1, 0, 2
38, 3, 3, 8, 0, 1, 0, 0
42, 3, 44, 16, 2, 1, 1, 2
76, 3, 53, 16, 1, 0, 1, 1
12, 1, 16, 1024, 2, 0, 1, 1
27, 3, 44, 16, 2, 1, 1, 0
67, 1, 43, 32, 1, 0, 0, 0
5, 1, 41, 128, 2, 1, 0, 2
78, 1, 48, 512, 2, 1, 0, 0
43, 3, 36, 8, 2, 0, 1, 2
56, 1, 18, 1, 1, 1, 0, 1
2, 0, 15, 256, 2, 0, 1, 1
67, 1, 33, 128, 0, 1, 1, 1
66, 2, 51, 256, 2, 0, 0, 1
56, 3, 34, 4, 1, 1, 1, 1
80, 3, 18, 128, 1, 1, 0, 0
18, 3, 57, 4, 2, 1, 1, 1
28, 2, 15, 2, 0, 1, 1, 2
42, 0, 57, 1, 0, 1, 1, 0
57, 3, 48, 2, 2, 0, 0, 2
79, 1, 15, 128, 0, 0, 0, 1
53, 1, 40, 128, 0, 0, 0, 1
39, 1, 43, 64, 0, 0, 1, 2
16, 2, 57, 1024, 1, 0, 1, 1
48, 0, 18, 256, 0, 0, 0, 2
71, 3, 36, 1, 0, 0, 1, 2
40, 1, 18, 64, 2, 0, 0, 2
43, 1, 53, 4, 2, 1, 1, 0
80, 0, 4, 4, 1, 0, 0, 1
17, 2, 29, 16, 2, 0, 0, 0
44, 1, 53, 4, 1, 0, 0, 2
60, 0, 7, 32, 2, 1, 1, 2
2, 3, 4, 64, 0, 0, 0, 1
67, 2, 45, 64, 2, 1, 1, 0
16, 2, 30, 64, 0, 1, 1, 2
56, 2, 17, 64, 1, 0, 0, 1
70, 1, 13, 1024, 1, 0, 0, 1
63, 0, 3, 32, 2, 1, 1, 0
49, 0, 42, 128, 2, 0, 0, 1
71, 3, 6, 16, 2, 0, 0, 2
76, 1, 41, 64, 1, 0, 0, 0
5, 0, 47, 1024, 2, 0, 0, 1
51, 3, 14, 32, 2, 1, 0, 2
40, 0, 19, 8, 1, 0, 0, 1
51, 2, 6, 2, 2, 0, 0, 2
11, 0, 43, 1, 2, 1, 1, 1
43, 3, 50, 32, 1, 1, 0, 0
75, 2, 23, 32, 0, 0, 0, 2
5, 0, 53, 256, 0, 0, 1, 1
48, 0, 26, 8, 0, 0, 1, 1
71, 1, 4, 16, 0, 0, 0, 0
12, 3, 44, 4, 0, 1, 1, 0
71, 3, 6, 2, 0, 1, 0, 2
66, 3, 4, 512, 2, 1, 0, 2
13, 1, 16, 16, 2, 1, 1, 0
51, 1, 17, 512, 0, 0, 0, 0
